"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-01",,"31","38","23"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-02",,"39","43","35"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-03",,"40","43","38"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-04",,"38","43","33"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-05",,"32","38","26"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-06",,"34","43","26"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-07",,"39","41","37"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-08",,"36","38","33"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-09",,"39","43","35"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-10",,"41","47","36"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-11",,"45","48","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-12",,"49","53","45"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-13",,"45","48","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-14",,"43","46","41"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-15",,"43","45","41"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-16",,"41","42","40"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-17",,"42","43","40"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-18",,"43","44","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-19",,"45","48","43"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-20",,"46","49","43"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-21",,"44","47","41"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-22",,"42","43","41"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-23",,"40","42","38"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-24",,"38","41","36"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-25",,"38","39","36"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-26",,"37","39","35"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-27",,"37","38","35"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-28",,"38","43","32"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-29",,"40","42","38"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-30",,"44","47","40"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-01-31",,"42","44","40"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-01",,"41","43","39"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-02",,"36","39","33"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-03",,"38","41","35"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-04",,"45","49","41"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-05",,"44","48","40"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-06",,"42","45","38"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-07",,"46","52","40"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-08",,"43","45","41"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-09",,"44","46","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-10",,"44","45","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-11",,"43","45","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-12",,"41","44","38"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-13",,"43","48","38"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-14",,"45","47","44"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-15",,"44","46","43"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-16",,"46","50","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-17",,"45","49","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-18",,"45","48","43"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-19",,"45","49","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-20",,"43","45","42"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-21",,"38","44","33"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-22",,"34","38","29"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-23",,"31","34","27"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-24",,"35","42","29"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-25",,"38","43","33"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-26",,"42","48","36"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-27",,"45","51","40"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-02-28",,"44","46","43"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-01",,"48","53","43"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-02",,"47","51","44"
"CA001107010","SANDHEADS CS, BC CA","49.1","-123.3","11.0","2022-03-03",,"45","48","41"
